Algorithm,Preprocessing,Clusters,Silhouette,Calinski-Harabasz,Davies-Bouldin
KMeans,none,3,0.571138193786884,561.815657860671,0.5342431775436279
KMeans,none,4,0.5613289817418605,705.5304694686665,0.5467606178610309
KMeans,none,5,0.5489993239795681,787.0469221178355,0.5450474069118043
Hierarchical,none,3,0.5644796401732071,552.851711505718,0.5357343073560231
Hierarchical,none,4,0.5606726948394264,670.6259906052811,0.5535739500227301
Hierarchical,none,5,0.5074843044233789,684.2226128880217,0.5513145248753561
MeanShift,none,3,0.5024921259394888,454.0589434652176,0.5561495856687326
MeanShift,none,4,0.5024921259394888,454.0589434652176,0.5561495856687326
MeanShift,none,5,0.5024921259394888,454.0589434652176,0.5561495856687326
KMeans,normalize,3,0.2848589191898987,70.94000800315118,1.389187977718165
KMeans,normalize,4,0.25187778976911235,55.7063825322051,1.7614900683974861
KMeans,normalize,5,0.23566917282052238,46.19780644955301,1.5921945333934981
Hierarchical,normalize,3,0.2774439826952265,67.6474675044098,1.4185919431857321
Hierarchical,normalize,4,0.225836659334758,51.46414629882823,1.7886506143765981
Hierarchical,normalize,5,0.18674235566758707,43.67927204722387,1.9228554600490608
MeanShift,normalize,3,0.22447619269259034,6.435434458992323,1.3200588029456868
MeanShift,normalize,4,0.22447619269259034,6.435434458992323,1.3200588029456868
MeanShift,normalize,5,0.22447619269259034,6.435434458992323,1.3200588029456868
KMeans,transform,3,0.3012404888540335,73.1113148626177,1.3609734465058105
KMeans,transform,4,0.27173629802370747,57.37529943606258,1.7358381111697334
KMeans,transform,5,0.19889580277279023,47.85044779144206,1.8667722098364383
Hierarchical,transform,3,0.2897748830672056,68.95605874229987,1.385484249996127
Hierarchical,transform,4,0.2517314271232826,53.13027666031502,1.7044262002286004
Hierarchical,transform,5,0.22941929090286212,44.79254811242667,1.8093489587196534
KMeans,pca,3,0.3690763194699231,109.23273065671512,1.0932987882612901
KMeans,pca,4,0.32561901466893495,90.61459249844398,1.4193841647305572
KMeans,pca,5,0.31486399699667195,79.19702493700817,1.311126250631859
Hierarchical,pca,3,0.34679305595565346,100.0205229402601,1.1048925268393108
Hierarchical,pca,4,0.2913187626604516,79.22285634016836,1.3145312908702196
Hierarchical,pca,5,0.26787443928843435,70.36712244823374,1.3527239971613034
MeanShift,pca,3,0.3347729108327412,95.7639202291402,1.196681849348552
MeanShift,pca,4,0.3347729108327412,95.7639202291402,1.196681849348552
MeanShift,pca,5,0.3347729108327412,95.7639202291402,1.196681849348552
KMeans,t+n,3,0.30124048885403343,73.11131486261769,1.3609734465058108
KMeans,t+n,4,0.26870288699486605,57.21562809667613,1.7626601420591164
KMeans,t+n,5,0.24874880346909817,47.66333879464072,1.7581388854755757
Hierarchical,t+n,3,0.28977488306720567,68.95605874229986,1.3854842499961275
Hierarchical,t+n,4,0.25173142712328256,53.130276660315005,1.7044262002286004
Hierarchical,t+n,5,0.22941929090286212,44.79254811242665,1.8093489587196534
KMeans,t+n+pca,3,0.3830095796896315,112.05158884586591,1.0695578420806857
KMeans,t+n+pca,4,0.35758329187911964,91.28265691292799,1.3656412538433402
KMeans,t+n+pca,5,0.3581549795542377,80.11999874883128,1.3091393094090038
Hierarchical,t+n+pca,3,0.37337348589750485,106.91798357688403,1.0875016021578643
Hierarchical,t+n+pca,4,0.32008205487092417,85.69142089689932,1.467892647897973
Hierarchical,t+n+pca,5,0.3267293080751022,75.0485794614276,1.2445918236952862
